company,ticker,sector,label,annual_revenue_usd_millions,revenue_growth_yoy_pct,gross_margin_pct,operating_margin_pct,rd_expense_pct_of_revenue,total_debt_usd_millions,cash_and_equivalents_usd_millions,debt_to_revenue,cash_to_revenue,net_debt_to_revenue,log_revenue,sector_z_revenue_growth_yoy_pct,sector_z_gross_margin_pct,sector_z_operating_margin_pct,sector_z_rd_expense_pct_of_revenue,sector_z_debt_to_revenue,sector_z_cash_to_revenue,sector_z_net_debt_to_revenue
Xilinx,XLNX,Semiconductor,1,3162.7,3.4,66.9,25.0,27.0,,,,,,8.059181372142861,-0.1726218084510414,0.8629744015858899,1.069934886423177,0.3031209439950951,0.0,0.0,0.0
Maxim Integrated,MXIM,Semiconductor,1,2314.3,-6.7,64.8,32.3,18.8,992.6,1757.3,0.42889858704575895,0.7593224733180659,-0.3304238862723069,7.746862544985617,-0.7790497268355694,0.7221627276674458,1.4944199228845458,-0.2742522826622289,0.32199309232559153,0.5713661206969707,-0.2070723167794837
Cypress Semiconductor,CY,Semiconductor,1,2483.8,6.7,37.5,6.6,14.7,935.8,285.7,0.3767614139624768,0.11502536436105966,0.2617360496014171,7.817544924513932,0.02551800646667567,-1.1083890332723199,0.0,-0.562938895990891,0.19722365408700662,-0.6208217503823291,0.5891265984355342
Inphi Corporation,IPHI,Semiconductor,1,365.6,24.1,58.2,-13.5,50.3,476.2,282.7,1.3025164113785557,0.773249452954048,0.5292669584245077,5.901539839579995,1.0702552123964566,0.2796117524951951,-1.1687875661470575,1.9437058441311499,2.412647393875537,0.597136182322211,0.9488399233114269
Cavium Inc,CAVM,Semiconductor,1,603.3,46.2,,,42.7,698.3,,1.1574672633847174,,,6.402414585446716,2.397191548663592,0.0,0.0,1.4085794389365571,2.0655303631292026,0.0,0.0
Linear Technology,LLTC,Semiconductor,1,1500.0,,76.0,46.0,,,,,,,7.313220387090301,0.0,1.4731583218991449,2.2910562241887593,0.0,0.0,0.0,0.0
Atmel Corporation,ATML,Semiconductor,1,1413.3,1.9,46.3,-1.6,19.4,,206.9,,0.14639496214533362,,7.253682674374105,-0.26268536068636733,-0.5183210663759853,-0.4768188080798941,-0.23200546119949803,0.0,-0.5627763960277388,0.0
Freescale Semiconductor,FSL,Semiconductor,1,4600.0,9.5,,,18.4,5595.0,,1.2163043478260869,,,8.433811582477187,0.19363663730595074,0.0,0.0,-0.3024168303040497,2.2063333552979474,0.0,0.0
Broadcom Corporation,BRCM,Semiconductor,1,8428.0,1.5,,8.2,28.1,,5989.0,,0.7106074988134788,,9.03931477492408,-0.2867023079491209,0.0,0.09303781621071103,0.38057345001010207,0.0,0.48122540620839843,0.0
Fairchild Semiconductor,FCS,Semiconductor,1,1429.0,1.6,,,11.6,,,,,,7.264730177929867,-0.28069807113343254,0.0,0.0,-0.7812141402150014,0.0,0.0,0.0
