company,ticker_at_time,acquirer,announcement_date,sector,fiscal_year_used,annual_revenue_usd_millions,revenue_growth_yoy_pct,gross_margin_pct,operating_margin_pct,rd_expense_pct_of_revenue,total_debt_usd_millions,cash_and_equivalents_usd_millions,market_cap_at_announcement_usd_millions,deal_value_usd_millions
Xilinx,XLNX,AMD,2020-10-27,Semiconductor,FY2020 (ended Mar 28 2020),3162.7,3.4,66.9,25.0,27.0,,,28000.0,35000
Maxim Integrated,MXIM,Analog Devices,2020-07-13,Semiconductor,FY2019 (ended Jun 29 2019),2314.3,-6.7,64.8,32.3,18.8,992.6,1757.3,,21000
Cypress Semiconductor,CY,Infineon,2019-06-03,Semiconductor,FY2018 (ended Dec 30 2018),2483.8,6.7,37.5,6.6,14.7,935.8,285.7,,10000
Inphi Corporation,IPHI,Marvell,2020-10-29,Semiconductor,FY2019,365.6,24.1,58.2,-13.5,50.3,476.2,282.7,,10000
Cavium Inc,CAVM,Marvell,2017-11-20,Semiconductor,FY2016,603.3,46.2,,,42.7,698.3,,6600.0,6000
Linear Technology,LLTC,Analog Devices,2016-07-26,Semiconductor,FY2016 (ended Jun 2016),1500.0,,76.0,46.0,,,,,14800
Atmel Corporation,ATML,Microchip Technology,2016-01-19,Semiconductor,FY2014,1413.3,1.9,46.3,-1.6,19.4,,206.9,,3560
Freescale Semiconductor,FSL,NXP Semiconductors,2015-03-02,Semiconductor,FY2014,4600.0,9.5,,,18.4,5595.0,,,11800
Broadcom Corporation,BRCM,Avago Technologies,2015-05-28,Semiconductor,FY2014,8428.0,1.5,,8.2,28.1,,5989.0,,37000
Fairchild Semiconductor,FCS,ON Semiconductor,2015-11-18,Semiconductor,FY2014,1429.0,1.6,,,11.6,,,,2400
IXYS Corporation,IXYS,Littelfuse,2017-08-28,Semiconductor,FY2017 (ended Mar 31 2017),322.0,,,,9.5,,,750.0,750
Integrated Device Technology,IDTI,Renesas,2018-09-11,Semiconductor,FY2018 (ended ~Apr 2018),,,,,,499.3,392.6,,6700
Intersil Corporation,ISIL,Renesas,2016-02-22,Semiconductor,FY2015,521.6,,59.0,-2.7,24.2,,247.4,,3200
Quantenna Communications,QTNA,ON Semiconductor,2019-04-01,Semiconductor,FY2018,220.5,25.0,49.6,1.3,32.4,0.0,38.9,,1000
Dialog Semiconductor,DLG,Renesas,2021-02-08,Semiconductor,FY2019,1420.0,-1.5,49.8,22.8,,,1000.0,,5900
Sierra Wireless,SWIR,Semtech,2022-08-02,Semiconductor,FY2021,473.2,5.5,33.1,-16.8,14.5,9.9,76.8,,1200
Tableau Software,DATA,Salesforce,2019-06-10,Software,FY2018 (ended Dec 31 2018),1155.4,12.0,87.7,-7.8,33.1,0.0,1022.4,15040.0,15700
MuleSoft,MULE,Salesforce,2018-03-20,Software,FY2017 (ended Dec 31 2017),296.5,58.0,72.6,-26.9,21.8,0.0,347.3,4900.0,6500
Slack Technologies,WORK,Salesforce,2020-12-01,Software,FY2020 (ended Jan 31 2020),630.4,57.0,84.6,-93.3,72.6,0.0,768.6,24340.0,27700
Marketo,MKTO,Adobe,2018-09-20,Software,FY2017 (est.; private since 2016 - last reported revenue figure cited in acquisition press coverage),321.0,,,,,,,,4750
Magento Commerce,N/A (private),Adobe,2018-05-21,Software,FY2017-2018 (est.; private company - approx run-rate implied by Adobe's post-close quarterly revenue disclosure),160.0,,,,,,,,1680
NetSuite,N,Oracle,2016-07-28,Software,FY2015 (ended Dec 31 2015),741.1,33.0,,-16.8,18.3,,,7800.0,9300
Concur Technologies,CNQR,SAP,2014-09-18,Software,FY2013 (ended Sep 30 2013),545.8,24.0,,,10.5,776.3,,6900.0,8300
Cloudera,CLDR,"Clayton, Dubilier & Rice / KKR",2021-06-01,Software,FY2021 (ended Jan 31 2021),869.3,9.0,,-18.0,,500.0,773.0,4270.0,5300
Zendesk,ZEN,Hellman & Friedman / Permira,2022-06-24,Software,FY2021 (ended Dec 31 2021),1338.6,30.0,79.0,-12.0,26.3,1119.0,1575.0,7600.0,10200
Splunk,SPLK,Cisco,2023-09-21,Software,FY2023 (ended Jan 31 2023),3654.0,37.0,77.7,-6.4,27.3,3875.0,2007.0,20000.0,28000
Celgene Corporation,CELG,Bristol-Myers Squibb,2019-01-03,Healthcare,2017,13003.0,15.8,96.5,36.2,45.5,15838.0,12042.0,43800.0,74000
Allergan plc,AGN,AbbVie,2019-06-25,Healthcare,2018,15787.0,-0.9,86.1,-39.6,14.4,23800.0,880.0,42900.0,63000
Shire plc,SHPG,Takeda Pharmaceutical,2018-05-08,Healthcare,2017,14449.0,32.7,67.5,17.0,12.2,19541.0,472.0,,62000
Alexion Pharmaceuticals,ALXN,AstraZeneca,2020-12-12,Healthcare,2019,4991.0,20.8,92.1,42.5,17.8,2502.0,2750.0,26300.0,39000
Array BioPharma,ARRY,Pfizer,2019-06-17,Healthcare,FY2018,174.0,15.2,,-74.7,106.9,112.0,413.0,7000.0,11400
Loxo Oncology,LOXO,Eli Lilly,2019-01-07,Healthcare,2017,21.0,,,-715.5,657.3,0.0,626.0,4740.0,8000
Spark Therapeutics,ONCE,Roche,2019-02-25,Healthcare,2018,65.0,434.7,87.8,-299.2,193.7,51.0,601.0,1795.0,4300
Immunomedics,IMMU,Gilead Sciences,2020-09-13,Healthcare,2019,0.3,-66.0,,,,265.0,613.0,10000.0,21000
