company,ticker,fiscal_year_used,annual_revenue_usd_millions,revenue_growth_yoy_pct,gross_margin_pct,operating_margin_pct,rd_expense_pct_of_revenue,total_debt_usd_millions,cash_and_equivalents_usd_millions,market_cap_usd_millions,pe_ratio
Skyworks Solutions,SWKS,FY2025 (ended Oct 3 2025),4087,-2.18,41.16,12.52,19.22,1203,1388,10083,34.63
Qorvo,QRVO,FY2026 (ended Mar 28 2026),3679,-1.09,46.20,14.99,19.74,1606,1219,8476,22.25
Microchip Technology,MCHP,FY2026 (ended Mar 31 2026),4713,7.08,57.73,11.24,23.04,5642,240.3,39884,108.26
Monolithic Power Systems,MPWR,FY2025 (ended Dec 31 2025),2790,26.43,55.18,26.11,13.70,24.1,1257,62302,77.34
Silicon Laboratories,SLAB,FY2025 (ended Jan 3 2026),784.76,34.29,58.23,-8.99,45.02,23.96,443.62,7309,N/A
Power Integrations,POWI,FY2025 (ended Dec 31 2025),443.5,5.85,54.49,4.85,22.80,18.88,249.51,2871,116.68
Lattice Semiconductor,LSCC,FY2025 (ended Jan 3 2026),523.26,2.72,68.22,2.92,34.38,42.11,133.89,16382,450.98
Rambus,RMBS,FY2025 (ended Dec 31 2025),707.63,27.13,80.56,36.77,26.53,24.98,761.83,9403,39.76
MACOM Technology Solutions,MTSI,FY2025 (ended Oct 3 2025),967.26,32.58,54.69,13.41,25.28,603.45,785.98,20149,84.02
Cirrus Logic,CRUS,FY2026 (ended Mar 28 2026),1997,5.34,52.78,23.05,21.73,133.98,1154,5488,13.37
Diodes Incorporated,DIOD,FY2025 (ended Dec 31 2025),1482,13.04,31.20,2.46,10.94,95.61,377.03,4181,48.83
Vishay Intertechnology,VSH,FY2025 (ended Dec 31 2025),3069,4.47,19.38,1.23,N/A,1073,515.23,4667,146.66
Ambarella,AMBA,FY2026 (ended Jan 31 2026),390.7,37.15,59.19,-21.12,61.06,13.44,312.57,3044,N/A (fwd PE 84.08)
Synaptics,SYNA,FY2026 (ended Jun 27 2026),1197,11.44,44.72,-4.76,31.90,876.8,442.5,3782,N/A (fwd PE 18.68)
onsemi,ON,FY2025 (ended Dec 31 2025),5995,-15.35,38.32,17.84,9.73,3253,2548,28844,47.47
Allegro MicroSystems,ALGM,FY2026 (ended Mar 27 2026),890.1,22.77,46.49,4.32,22.59,305.91,168.75,6757,N/A (unprofitable)
CEVA Inc,CEVA,FY2025 (ended Dec 31 2025),109.6,2.49,87.08,-10.35,68.28,16.13,222.04,762,N/A (fwd PE 38.96)
SiTime Corporation,SITM,FY2025 (ended Dec 31 2025),326.66,61.16,53.57,-19.05,36.95,3.61,808.41,17003,1083.34
Universal Display Corporation,OLED,FY2025 (ended Dec 31 2025),650.61,0.45,74.88,38.21,22.46,24.24,602.36,3823,20.07
Semtech Corporation,SMTC,FY2026 (ended Jan 25 2026),1050,15.47,52.51,11.74,18.70,517.99,195.18,12409,81.81
